build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|vision.soft-peek",26,0.005%,100%,10,21214125,1,"clean-hands + opening-tell + opening-tell + false-read"
"core.clean-hands|core.opening-tell|core.opening-tell|vision.dealer-glance|vision.soft-peek",18,0.004%,100%,10,16118916.667,1,"clean-hands + opening-tell + opening-tell + dealer-glance"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.dealer-glance|vision.soft-peek",18,0.004%,100%,10,18294361.111,1,"opening-tell + opening-tell + soft-footsteps + dealer-glance"
"core.opening-tell|heat.soft-footsteps|player.side-step|vision.pattern-memory|vision.soft-peek",18,0.004%,100%,10,17848148.611,1,"opening-tell + soft-footsteps + side-step + pattern-memory"
"core.opening-tell|heat.soft-footsteps|tie.split-signal|tie.tie-whisperer|vision.soft-peek",16,0.003%,100%,10,14303539.063,1,"opening-tell + soft-footsteps + split-signal + tie-whisperer"
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|tie.tie-whisperer",14,0.003%,100%,10,17814419.643,1,"clean-hands + opening-tell + opening-tell + false-read"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|vision.dealer-glance",13,0.003%,100%,10,14103336.538,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"banker.dealers-nod|core.clean-hands|core.opening-tell|tie.tie-whisperer|vision.soft-peek",12,0.002%,100%,10,11040947.917,1,"dealers-nod + clean-hands + opening-tell + tie-whisperer"
"core.lucky-chip|core.opening-tell|heat.soft-footsteps|vision.dealer-glance|vision.pattern-memory",11,0.002%,100%,10,15326011.364,1,"lucky-chip + opening-tell + soft-footsteps + dealer-glance"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|player.side-step|vision.soft-peek",11,0.002%,100%,10,20056897.727,1,"opening-tell + opening-tell + soft-footsteps + side-step"
"core.clean-hands|core.opening-tell|tie.tie-whisperer|vision.pattern-memory|vision.soft-peek",11,0.002%,100%,10,16247954.545,1,"clean-hands + opening-tell + tie-whisperer + pattern-memory"
"core.clean-hands|core.opening-tell|tie.split-signal|tie.tie-whisperer|vision.soft-peek",11,0.002%,100%,10,21799204.545,1,"clean-hands + opening-tell + split-signal + tie-whisperer"
