phase,configuration,policy,runs,completed,completion_rate,artifact,note
baseline,"baseline","random",100000,132,0.132%,"simulation_summary.csv","complete aggregate"
baseline,"baseline","novice",100000,1492,1.492%,"simulation_summary.csv","complete aggregate"
baseline,"baseline","greedy",100000,0,0%,"simulation_summary.csv","complete aggregate"
baseline,"baseline","risk_aware",100000,1603,1.603%,"simulation_summary.csv","complete aggregate"
baseline,"baseline","optimized",100000,12162,12.162%,"simulation_summary.csv","complete aggregate"
variance,"all_random","optimized",6000,732,12.2%,"simulation_summary.csv","complete aggregate"
variance,"fixed_tree","optimized",6000,748,12.467%,"simulation_summary.csv","complete aggregate"
variance,"fixed_shoe","optimized",6000,711,11.85%,"simulation_summary.csv","complete aggregate"
variance,"fixed_policy","optimized",6000,750,12.5%,"simulation_summary.csv","complete aggregate"
mechanic_ablation,"optimized_paired","optimized",720000,,,"mechanic_effects.csv","120 modifier comparisons complete"
parameter_sweep,"numeric_effect_scale","optimized",135000,,,"parameter_sweeps.csv","90 sweep points complete"
charts,"svg","all",,,,"charts/*.svg","10 charts generated"
traces,"diagnostic","mixed",,,,"traces/sample_traces.md","deterministic sample and anomaly traces generated"
