modifier_id,name,scale_percent,sample_size,completion_rate,avg_final_stage,avg_ending_bankroll,recommended_range_note
"core.clean-hands","Clean Hands",50,1500,12.933%,5.025,3818768.626,"downward comparison"
"core.clean-hands","Clean Hands",75,1500,12.933%,5.023,3630747.893,"downward comparison"
"core.clean-hands","Clean Hands",100,1500,10.667%,4.903,3371135.623,"current value"
"core.clean-hands","Clean Hands",125,1500,12.933%,5.102,3927783.038,"upward comparison"
"core.clean-hands","Clean Hands",150,1500,11.267%,4.973,3650767.216,"upward comparison"
"heat.soft-footsteps","Soft Footsteps",50,1500,13.8%,4.927,3641368.486,"downward comparison"
"heat.soft-footsteps","Soft Footsteps",75,1500,12.067%,4.983,3625888.217,"downward comparison"
"heat.soft-footsteps","Soft Footsteps",100,1500,11.533%,4.963,3640249.701,"current value"
"heat.soft-footsteps","Soft Footsteps",125,1500,13%,4.973,3654878.445,"upward comparison"
"heat.soft-footsteps","Soft Footsteps",150,1500,11.4%,4.871,3488193.268,"upward comparison"
"tie.tie-master","Tie Master",50,1500,13.067%,5.139,3858373.655,"downward comparison"
"tie.tie-master","Tie Master",75,1500,12.6%,4.975,3623392.564,"downward comparison"
"tie.tie-master","Tie Master",100,1500,13.867%,5.147,4202417.364,"current value"
"tie.tie-master","Tie Master",125,1500,11.8%,4.964,3551900.676,"upward comparison"
"tie.tie-master","Tie Master",150,1500,11.867%,4.831,3260499.382,"upward comparison"
"boss.boss-bounty","Boss Bounty",50,1500,11.267%,4.862,3214350.24,"downward comparison"
"boss.boss-bounty","Boss Bounty",75,1500,12.733%,4.922,3398592.685,"downward comparison"
"boss.boss-bounty","Boss Bounty",100,1500,12.8%,4.946,3647345.237,"current value"
"boss.boss-bounty","Boss Bounty",125,1500,11.933%,4.963,3586956.785,"upward comparison"
"boss.boss-bounty","Boss Bounty",150,1500,13.333%,5.045,4106905.355,"upward comparison"
"tie.equalizer","Equalizer",50,1500,12.6%,5,3761952.059,"downward comparison"
"tie.equalizer","Equalizer",75,1500,12.6%,5.033,3790688.49,"downward comparison"
"tie.equalizer","Equalizer",100,1500,12.133%,5.028,3856860.337,"current value"
"tie.equalizer","Equalizer",125,1500,11.4%,5.068,3836272.789,"upward comparison"
"tie.equalizer","Equalizer",150,1500,11.4%,4.903,3419046.745,"upward comparison"
"natural.perfect-nine","Perfect Nine",50,1500,12.133%,5.004,3636434.101,"downward comparison"
"natural.perfect-nine","Perfect Nine",75,1500,11.8%,4.862,3463064.202,"downward comparison"
"natural.perfect-nine","Perfect Nine",100,1500,12.333%,4.984,3771786.647,"current value"
"natural.perfect-nine","Perfect Nine",125,1500,11.933%,4.973,3672000.901,"upward comparison"
"natural.perfect-nine","Perfect Nine",150,1500,14%,5.103,3911497.208,"upward comparison"
"tie.dead-heat","Dead Heat",50,1500,12.867%,5.075,3807905.121,"downward comparison"
"tie.dead-heat","Dead Heat",75,1500,11.933%,4.952,3644952.295,"downward comparison"
"tie.dead-heat","Dead Heat",100,1500,12.733%,5.159,4085754.031,"current value"
"tie.dead-heat","Dead Heat",125,1500,12.8%,4.897,3669718.481,"upward comparison"
"tie.dead-heat","Dead Heat",150,1500,13.067%,4.995,3884787.669,"upward comparison"
"pair.twin-engine","Twin Engine",50,1500,12.867%,5.071,3636732.883,"downward comparison"
"pair.twin-engine","Twin Engine",75,1500,13.4%,5.003,3733546.398,"downward comparison"
"pair.twin-engine","Twin Engine",100,1500,10.6%,4.97,3450870.813,"current value"
"pair.twin-engine","Twin Engine",125,1500,11.933%,5.042,3663665.271,"upward comparison"
"pair.twin-engine","Twin Engine",150,1500,11.2%,4.904,3272183.859,"upward comparison"
"core.player-surge","Player Surge",50,1500,11.8%,4.947,3418616.922,"downward comparison"
"core.player-surge","Player Surge",75,1500,12.133%,4.971,3759789.511,"downward comparison"
"core.player-surge","Player Surge",100,1500,11.2%,5.03,3722168.965,"current value"
"core.player-surge","Player Surge",125,1500,12.4%,4.945,3778187.788,"upward comparison"
"core.player-surge","Player Surge",150,1500,11.933%,4.999,3550167.071,"upward comparison"
"final.crown-hand","Crown Hand",50,1500,12.8%,5.231,4013573.563,"downward comparison"
"final.crown-hand","Crown Hand",75,1500,12.933%,5.013,3851509.846,"downward comparison"
"final.crown-hand","Crown Hand",100,1500,11.533%,4.921,3553873.901,"current value"
"final.crown-hand","Crown Hand",125,1500,12.667%,5.088,3784858.363,"upward comparison"
"final.crown-hand","Crown Hand",150,1500,11.6%,4.865,3326169.319,"upward comparison"
"economy.boss-bonus","Boss Bonus",50,1500,12.533%,4.929,3507935.173,"downward comparison"
"economy.boss-bonus","Boss Bonus",75,1500,11.2%,4.831,3361590.835,"downward comparison"
"economy.boss-bonus","Boss Bonus",100,1500,11.4%,4.917,3526918.768,"current value"
"economy.boss-bonus","Boss Bonus",125,1500,11.667%,4.905,3543071.253,"upward comparison"
"economy.boss-bonus","Boss Bonus",150,1500,10.6%,4.886,3397086.917,"upward comparison"
"debt.credit-line","Credit Line",50,1500,10.933%,5.002,3538108.54,"downward comparison"
"debt.credit-line","Credit Line",75,1500,11.733%,4.907,3319415.135,"downward comparison"
"debt.credit-line","Credit Line",100,1500,12.8%,5.029,3758233.834,"current value"
"debt.credit-line","Credit Line",125,1500,12.467%,5.087,3712217.945,"upward comparison"
"debt.credit-line","Credit Line",150,1500,11.267%,4.948,3784629.131,"upward comparison"
"counter.mirror-punish","Mirror Punish",50,1500,12.2%,5.105,4097950.319,"downward comparison"
"counter.mirror-punish","Mirror Punish",75,1500,13.333%,5.099,4083317.658,"downward comparison"
"counter.mirror-punish","Mirror Punish",100,1500,11.867%,4.967,3782861.749,"current value"
"counter.mirror-punish","Mirror Punish",125,1500,12.733%,5.07,3904273.133,"upward comparison"
"counter.mirror-punish","Mirror Punish",150,1500,11.533%,4.945,3463318.17,"upward comparison"
