component_a,component_b,runs,completion_rate,avg_final_stage,avg_ending_bankroll,interaction_note
"boss.countermeasure","vision.banker-forecast",4,100%,10,11871843.75,"dominant practical pair candidate"
"counter.mirror-punish","sabotage.house-static",3,100%,10,4886350,"dominant practical pair candidate"
"control.control-burn","heat.soft-footsteps",3,100%,10,9405833.333,"dominant practical pair candidate"
"bet.insurance-marker","boss.final-table-pass",2,100%,10,4807187.5,"dominant practical pair candidate"
"banker.banco-battery","counter.turnaround-table",2,100%,10,4128312.5,"dominant practical pair candidate"
"heat.quiet-dealer","heat.surveillance-loop",2,100%,10,4437062.5,"dominant practical pair candidate"
"heat.backroom-pass","heat.surveillance-loop",2,100%,10,6055875,"dominant practical pair candidate"
"boss.final-table-pass","counter.mirror-punish",2,100%,10,4926625,"dominant practical pair candidate"
"counter.mirror-punish","loaded.add-nine",2,100%,10,7459187.5,"dominant practical pair candidate"
"counter.mirror-punish","loaded.eight-stack",2,100%,10,2264437.5,"dominant practical pair candidate"
"boss.countermeasure","loaded.eight-stack",2,100%,10,6787562.5,"dominant practical pair candidate"
"boss.countermeasure","debt.credit-line",2,100%,10,13837937.5,"dominant practical pair candidate"
"banker.loyal-customer","heat.quiet-dealer",2,100%,10,5897500,"dominant practical pair candidate"
"bet.insurance-marker","heat.surveillance-loop",2,100%,10,9923187.5,"dominant practical pair candidate"
"heat.camera-blindspot","heat.soft-footsteps",2,100%,10,10979525,"dominant practical pair candidate"
"banker.banker-anchor","heat.surveillance-loop",2,100%,10,3427687.5,"dominant practical pair candidate"
"debt.credit-line","tie.equalizer",2,100%,10,3967625,"dominant practical pair candidate"
"boss.countermeasure","vision.tie-forecast",2,100%,10,7468375,"dominant practical pair candidate"
"control.slipstream","heat.quiet-dealer",2,100%,10,19131562.5,"dominant practical pair candidate"
"bet.loss-limit","vision.deep-read",2,100%,10,21194937.5,"dominant practical pair candidate"
"control.card-delay","tie.split-signal",2,100%,10,19252937.5,"dominant practical pair candidate"
"heat.quiet-dealer","tie.split-signal",2,100%,10,9747812.5,"dominant practical pair candidate"
"tie.dead-heat","vision.deep-read",2,100%,10,13704750,"dominant practical pair candidate"
"heat.quiet-dealer","loaded.marked-nine",2,100%,10,17983437.5,"dominant practical pair candidate"
"economy.duplicate-finder","sabotage.table-chat",1,100%,10,6327125,"dominant practical pair candidate"
"heat.low-profile","natural.natural-comp",1,100%,10,2225500,"dominant practical pair candidate"
"economy.duplicate-finder","sabotage.house-static",1,100%,10,5193250,"dominant practical pair candidate"
"boss.final-table-pass","control.discard-favor",1,100%,10,4822125,"dominant practical pair candidate"
"economy.shop-regular","heat.backroom-pass",1,100%,10,2008950,"dominant practical pair candidate"
