build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"banker.commission-dodge|core.lucky-chip|economy.comp-points|heat.soft-footsteps|player.punto-insurance",4,0.08%,100%,10,929206.25,1,"commission-dodge + lucky-chip + comp-points + soft-footsteps"
"banker.banco-press|core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps",3,0.06%,100%,10,2065041.667,1,"banco-press + lucky-chip + comp-points + interest-ledger"
"banker.banker-anchor|core.lucky-chip|debt.last-dollar|economy.interest-ledger|heat.soft-footsteps",2,0.04%,100%,10,659500,1,"banker-anchor + lucky-chip + last-dollar + interest-ledger"
"core.banker-bias|economy.comp-points|economy.interest-ledger|heat.soft-footsteps|tie.mirror-bet",1,0.02%,100%,10,1967975,1,"banker-bias + comp-points + interest-ledger + soft-footsteps"
"banker.banco-press|core.lucky-chip|player.punto-insurance|player.reversal-read|tie.mirror-bet",1,0.02%,100%,10,2788825,1,"banco-press + lucky-chip + punto-insurance + reversal-read"
"core.banker-bias|economy.comp-points|heat.low-profile|player.player-tempo|vision.pattern-memory",1,0.02%,100%,10,1329750,1,"banker-bias + comp-points + low-profile + player-tempo"
"control.soft-cut|core.banker-bias|economy.comp-points|player.player-tempo|tie.equalizer",1,0.02%,100%,10,1945625,1,"soft-cut + banker-bias + comp-points + player-tempo"
"banker.commission-dodge|core.tie-insurance|economy.comp-points|economy.interest-ledger|player.reversal-read",1,0.02%,100%,10,1690000,1,"commission-dodge + tie-insurance + comp-points + interest-ledger"
"banker.commission-dodge|control.soft-cut|core.opening-tell|heat.soft-footsteps|player.punto-insurance",1,0.02%,100%,10,180125,1,"commission-dodge + soft-cut + opening-tell + soft-footsteps"
"control.soft-cut|core.clean-hands|debt.last-dollar|heat.low-profile|player.punto-insurance",1,0.02%,100%,10,2793125,1,"soft-cut + clean-hands + last-dollar + low-profile"
"core.banker-bias|economy.comp-points|heat.soft-footsteps|tie.mirror-bet|tie.tie-whisperer",1,0.02%,100%,10,335600,1,"banker-bias + comp-points + soft-footsteps + mirror-bet"
"banker.banco-press|banker.commission-dodge|core.clean-hands|debt.last-dollar|economy.comp-points",1,0.02%,100%,10,4442100,1,"banco-press + commission-dodge + clean-hands + last-dollar"
"core.lucky-chip|debt.last-dollar|economy.comp-points|heat.soft-footsteps|tie.tie-master",1,0.02%,100%,10,953500,1,"lucky-chip + last-dollar + comp-points + soft-footsteps"
"banker.commission-dodge|core.lucky-chip|player.player-tempo|tie.equalizer|vision.third-card-forecast",1,0.02%,100%,10,5396700,1,"commission-dodge + lucky-chip + player-tempo + equalizer"
"banker.banco-press|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|player.player-tempo",1,0.02%,100%,10,1959125,1,"banco-press + lucky-chip + interest-ledger + soft-footsteps"
"banker.dealers-nod|boss.boss-bounty|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps",1,0.02%,100%,10,762000,1,"dealers-nod + boss-bounty + lucky-chip + interest-ledger"
"banker.banco-press|boss.boss-bounty|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps",1,0.02%,100%,10,1500125,1,"banco-press + boss-bounty + lucky-chip + interest-ledger"
"boss.boss-bounty|core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps",1,0.02%,100%,10,347250,1,"boss-bounty + lucky-chip + comp-points + interest-ledger"
"core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|vision.pattern-memory|vision.third-card-forecast",1,0.02%,100%,10,3139875,1,"lucky-chip + interest-ledger + soft-footsteps + pattern-memory"
"bet.high-roller|core.lucky-chip|debt.last-dollar|heat.low-profile|heat.soft-footsteps",1,0.02%,100%,10,499250,1,"high-roller + lucky-chip + last-dollar + low-profile"
"boss.boss-bounty|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|player.player-tempo",1,0.02%,100%,10,1718625,1,"boss-bounty + lucky-chip + interest-ledger + soft-footsteps"
"core.lucky-chip|economy.comp-points|heat.low-profile|heat.soft-footsteps|tie.equalizer",1,0.02%,100%,10,739375,1,"lucky-chip + comp-points + low-profile + soft-footsteps"
"boss.boss-bounty|core.lucky-chip|economy.comp-points|heat.soft-footsteps|tie.equalizer",1,0.02%,100%,10,600750,1,"boss-bounty + lucky-chip + comp-points + soft-footsteps"
"core.lucky-chip|economy.comp-points|economy.interest-ledger|heat.soft-footsteps|tie.tie-master",1,0.02%,100%,10,777250,1,"lucky-chip + comp-points + interest-ledger + soft-footsteps"
"banker.dealers-nod|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|vision.third-card-forecast",1,0.02%,100%,10,3820375,1,"dealers-nod + lucky-chip + interest-ledger + soft-footsteps"
"core.lucky-chip|economy.comp-points|heat.soft-footsteps|tie.equalizer|vision.third-card-forecast",1,0.02%,100%,10,1351750,1,"lucky-chip + comp-points + soft-footsteps + equalizer"
"banker.banco-press|bet.high-roller|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps",1,0.02%,100%,10,1189000,1,"banco-press + high-roller + lucky-chip + interest-ledger"
"core.lucky-chip|economy.comp-points|heat.soft-footsteps|player.player-tempo|tie.equalizer",1,0.02%,100%,10,426375,1,"lucky-chip + comp-points + soft-footsteps + player-tempo"
"core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|player.side-step|vision.pattern-memory",1,0.02%,100%,10,1600000,1,"lucky-chip + interest-ledger + soft-footsteps + side-step"
"banker.banker-anchor|core.lucky-chip|economy.comp-points|heat.soft-footsteps|tie.tie-master",1,0.02%,100%,10,770375,1,"banker-anchor + lucky-chip + comp-points + soft-footsteps"
"core.lucky-chip|debt.last-dollar|economy.comp-points|heat.soft-footsteps|player.player-tempo",1,0.02%,100%,10,1276750,1,"lucky-chip + last-dollar + comp-points + soft-footsteps"
"banker.dealers-nod|core.lucky-chip|economy.interest-ledger|heat.soft-footsteps|vision.pattern-memory",1,0.02%,100%,10,299750,1,"dealers-nod + lucky-chip + interest-ledger + soft-footsteps"
"core.player-surge|debt.last-dollar|heat.soft-footsteps|vision.pattern-memory|vision.third-card-forecast",1,0.02%,100%,10,14350625,1,"player-surge + last-dollar + soft-footsteps + pattern-memory"
"core.player-surge|debt.last-dollar|heat.soft-footsteps|player.punto-insurance|player.side-step",1,0.02%,100%,10,2523500,1,"player-surge + last-dollar + soft-footsteps + punto-insurance"
"banker.banco-press|core.clean-hands|economy.comp-points|heat.soft-footsteps|tie.tie-whisperer",1,0.02%,100%,10,2391375,1,"banco-press + clean-hands + comp-points + soft-footsteps"
"core.clean-hands|debt.emergency-marker|heat.soft-footsteps|player.player-tempo|tie.tie-master",1,0.02%,100%,10,1442775,1,"clean-hands + emergency-marker + soft-footsteps + player-tempo"
"banker.commission-dodge|core.clean-hands|economy.interest-ledger|heat.soft-footsteps|tie.tie-master",1,0.02%,100%,10,2412475,1,"commission-dodge + clean-hands + interest-ledger + soft-footsteps"
"bet.high-roller|core.clean-hands|heat.low-profile|heat.soft-footsteps|player.punto-insurance",1,0.02%,100%,10,634375,1,"high-roller + clean-hands + low-profile + soft-footsteps"
"bet.high-roller|core.clean-hands|heat.soft-footsteps|player.player-tempo|vision.third-card-forecast",1,0.02%,100%,10,9064630,1,"high-roller + clean-hands + soft-footsteps + player-tempo"
"banker.banco-press|banker.banker-anchor|boss.house-crack|core.clean-hands|heat.soft-footsteps",1,0.02%,100%,10,1042375,1,"banco-press + banker-anchor + house-crack + clean-hands"
"banker.banker-anchor|banker.commission-dodge|core.clean-hands|heat.low-profile|vision.third-card-forecast",1,0.02%,100%,10,7114750,1,"banker-anchor + commission-dodge + clean-hands + low-profile"
"boss.house-crack|core.clean-hands|economy.comp-points|heat.low-profile|heat.soft-footsteps",1,0.02%,100%,10,894375,1,"house-crack + clean-hands + comp-points + low-profile"
"banker.banco-press|core.clean-hands|economy.interest-ledger|heat.low-profile|player.punto-insurance",1,0.02%,100%,10,1872875,1,"banco-press + clean-hands + interest-ledger + low-profile"
"banker.commission-dodge|core.clean-hands|heat.soft-footsteps|tie.equalizer|vision.third-card-forecast",1,0.02%,100%,10,7884125,1,"commission-dodge + clean-hands + soft-footsteps + equalizer"
"banker.banco-press|control.hot-cut|core.clean-hands|heat.low-profile|heat.soft-footsteps",1,0.02%,100%,10,1198500,1,"banco-press + hot-cut + clean-hands + low-profile"
"core.clean-hands|debt.last-dollar|economy.comp-points|economy.interest-ledger|heat.soft-footsteps",1,0.02%,100%,10,545625,1,"clean-hands + last-dollar + comp-points + interest-ledger"
"core.clean-hands|debt.last-dollar|heat.low-profile|player.player-tempo|tie.equalizer",1,0.02%,100%,10,534875,1,"clean-hands + last-dollar + low-profile + player-tempo"
"control.hot-cut|core.clean-hands|debt.last-dollar|heat.low-profile|heat.soft-footsteps",1,0.02%,100%,10,1426287,1,"hot-cut + clean-hands + last-dollar + low-profile"
"banker.banker-anchor|core.clean-hands|player.punto-insurance|player.reversal-read|vision.third-card-forecast",1,0.02%,100%,10,7814987,1,"banker-anchor + clean-hands + punto-insurance + reversal-read"
"banker.banco-press|core.clean-hands|economy.comp-points|heat.low-profile|heat.soft-footsteps",1,0.02%,100%,10,1084375,1,"banco-press + clean-hands + comp-points + low-profile"
"core.clean-hands|debt.last-dollar|heat.soft-footsteps|loaded.add-nine|tie.mirror-bet",1,0.02%,100%,10,553697,1,"clean-hands + last-dollar + soft-footsteps + add-nine"
"core.clean-hands|economy.comp-points|heat.low-profile|heat.soft-footsteps|vision.third-card-forecast",1,0.02%,100%,10,4965500,1,"clean-hands + comp-points + low-profile + soft-footsteps"
"core.clean-hands|economy.comp-points|heat.low-profile|heat.soft-footsteps|player.player-tempo",1,0.02%,100%,10,349875,1,"clean-hands + comp-points + low-profile + soft-footsteps"
"core.clean-hands|debt.last-dollar|heat.low-profile|heat.soft-footsteps|player.punto-insurance",1,0.02%,100%,10,524000,1,"clean-hands + last-dollar + low-profile + soft-footsteps"
"banker.banker-anchor|core.clean-hands|heat.low-profile|heat.soft-footsteps|tie.mirror-bet",1,0.02%,100%,10,1113245,1,"banker-anchor + clean-hands + low-profile + soft-footsteps"
"banker.banker-anchor|bet.high-roller|core.clean-hands|heat.soft-footsteps|tie.equalizer",1,0.02%,100%,10,1673750,1,"banker-anchor + high-roller + clean-hands + soft-footsteps"
"banker.banco-press|boss.house-crack|core.clean-hands|heat.low-profile|heat.soft-footsteps",1,0.02%,100%,10,1775000,1,"banco-press + house-crack + clean-hands + low-profile"
"core.clean-hands|heat.low-profile|heat.soft-footsteps|tie.mirror-bet|vision.third-card-forecast",1,0.02%,100%,10,4825125,1,"clean-hands + low-profile + soft-footsteps + mirror-bet"
"core.clean-hands|heat.low-profile|heat.soft-footsteps|tie.equalizer|vision.third-card-forecast",1,0.02%,100%,10,5193750,1,"clean-hands + low-profile + soft-footsteps + equalizer"
"banker.commission-dodge|core.clean-hands|heat.low-profile|heat.soft-footsteps|player.reversal-read",1,0.02%,100%,10,1343300,1,"commission-dodge + clean-hands + low-profile + soft-footsteps"
"core.clean-hands|debt.last-dollar|economy.comp-points|heat.soft-footsteps|loaded.add-nine",1,0.02%,100%,10,339000,1,"clean-hands + last-dollar + comp-points + soft-footsteps"
"core.clean-hands|economy.comp-points|heat.low-profile|tie.equalizer|vision.third-card-forecast",1,0.02%,100%,10,4613750,1,"clean-hands + comp-points + low-profile + equalizer"
"banker.banco-press|bet.high-roller|core.clean-hands|heat.low-profile|heat.soft-footsteps",1,0.02%,100%,10,1991125,1,"banco-press + high-roller + clean-hands + low-profile"
