mechanic_id,name,rarity,tags,trigger,policy,sample_size,offer_rate,selection_rate,trigger_rate,with_completion,without_completion,marginal_completion,marginal_ending_bankroll,classification,evidence_tags
"debt.emergency-marker","Emergency Marker","common","economy|comeback","stageStarted","optimized",250,213.2%,98%,2.204,4.4%,10.8%,-6.4%,-107153.2,"KEEP","DOMINANT PICK|LOW PLAYER AGENCY"
"heat.soft-footsteps","Soft Footsteps","common","heat","heatGained","optimized",250,86%,70.8%,0.868,3.2%,0%,3.2%,4176.5,"TUNE","DOMINANT PICK|COMEBACK"
"economy.comp-points","Comp Points","common","economy","wagerWon","optimized",250,242%,97.6%,2.828,5.6%,2.8%,2.8%,94484.4,"TUNE","DOMINANT PICK"
"banker.banker-anchor","Banker Anchor","common","banker|comeback","wagerLost","optimized",250,224.4%,28.8%,0.904,5.2%,7.6%,-2.4%,25389.5,"TUNE","LOW PLAYER AGENCY"
"banker.commission-dodge","Commission Dodge","common","banker|economy","wagerWon","optimized",250,201.2%,59.6%,5.808,3.6%,6%,-2.4%,-66919.6,"KEEP","DOMINANT PICK|LOW PLAYER AGENCY"
"core.lucky-chip","Lucky Chip","common","economy","wagerWon","optimized",250,0%,0%,5.6,6%,3.6%,2.4%,52247.6,"TUNE","TOO RARE TO MATTER"
"economy.interest-ledger","Interest Ledger","common","economy","stageStarted","optimized",250,222.8%,128.4%,3.128,3.6%,1.2%,2.4%,43032.7,"TUNE","DOMINANT PICK"
"debt.last-dollar","Last Dollar","uncommon","comeback|economy","wagerLost","optimized",250,104%,40%,0.288,5.2%,7.2%,-2%,-12665.4,"TUNE","DOMINANT PICK|LOW PLAYER AGENCY"
"banker.dealers-nod","Dealer's Nod","uncommon","banker|shoeVision","wagerWon","optimized",250,94%,1.2%,0,1.6%,2.8%,-1.2%,-8991,"CUT","LOW PLAYER AGENCY"
"banker.banco-press","Banco Press","uncommon","banker|betControl","wagerWon","optimized",250,97.2%,7.6%,0.568,4.4%,3.6%,0.8%,46362.4,"TUNE","SCALABLE"
"banker.banker-lock","Banker Lock","legendary","banker|boss","wagerWon","optimized",250,0%,0%,0,8.4%,8%,0.4%,-77744,"CUT","TOO RARE TO MATTER"
"bet.high-roller","High Roller","rare","betControl|heat","wagerWon","optimized",250,30.4%,0.4%,0.12,6.4%,6.8%,-0.4%,-15479.1,"TUNE","COMEBACK"
"heat.low-profile","Low Profile","common","heat","stageStarted","optimized",250,72.8%,1.6%,0.076,7.2%,7.6%,-0.4%,-53378,"TUNE","COMEBACK"
"bet.press-edge","Press the Edge","uncommon","betControl|streak","wagerWon","optimized",250,26.4%,0%,0,4.8%,5.2%,-0.4%,-4739.6,"CUT","SCALABLE"
"control.soft-cut","Soft Cut","common","shoeControl","beforeDeal","optimized",250,76%,1.2%,0.184,6%,5.6%,0.4%,65211,"TUNE","SCALABLE"
"boss.boss-bounty","Boss Bounty","rare","boss|economy","bossDefeated","optimized",250,0%,0%,0,2.8%,2.8%,0%,914,"CUT","TOO RARE TO MATTER"
"boss.house-crack","House Crack","legendary","boss|betControl|heat","wagerWon","optimized",250,0%,0%,0.008,5.2%,5.2%,0%,-1418,"CUT","TOO RARE TO MATTER|COMEBACK"
"control.hot-cut","Hot Cut","legendary","shoeControl|cardSculpting","stageStarted","optimized",250,0%,0%,0,4.4%,4.4%,0%,482,"CUT","TOO RARE TO MATTER"
"control.slipstream","Slipstream","rare","shoeControl|shoeVision","beforeDeal","optimized",250,21.2%,0%,0,5.2%,5.2%,0%,1620.9,"CUT","SCALABLE"
"core.banker-bias","Banker Bias","common","banker|betControl","wagerWon","optimized",250,0%,0%,0,6.4%,6.4%,0%,0,"CUT","TOO RARE TO MATTER"
"core.clean-hands","Clean Hands","common","heat","heatGained","optimized",250,0%,0%,0,6%,6%,0%,0,"CUT","TOO RARE TO MATTER|COMEBACK"
"core.opening-tell","Opening Tell","common","shoeVision","stageStarted","optimized",250,0%,0%,0,5.6%,5.6%,0%,0,"CUT","TOO RARE TO MATTER"
"core.player-surge","Player Surge","common","player|tempo","wagerWon","optimized",250,0%,0%,0,6%,6%,0%,0,"CUT","TOO RARE TO MATTER"
"core.tie-insurance","Tie Insurance","common","tie|comeback","wagerLost","optimized",250,0%,0%,0,4.4%,4.4%,0%,0,"CUT","TOO RARE TO MATTER"
