modifier_id,name,scale_percent,sample_size,completion_rate,avg_final_stage,avg_ending_bankroll,recommended_range_note
"heat.soft-footsteps","Soft Footsteps",50,200,7.5%,5.57,244236.5,"downward comparison"
"heat.soft-footsteps","Soft Footsteps",75,200,7%,6.465,340311.5,"downward comparison"
"heat.soft-footsteps","Soft Footsteps",100,200,2%,5.7,221232.75,"current value"
"heat.soft-footsteps","Soft Footsteps",125,200,6%,6.24,333006.875,"upward comparison"
"heat.soft-footsteps","Soft Footsteps",150,200,6%,5.975,267722.375,"upward comparison"
"tie.tie-master","Tie Master",50,200,3%,5.75,327060.625,"downward comparison"
"tie.tie-master","Tie Master",75,200,8.5%,5.995,281363.125,"downward comparison"
"tie.tie-master","Tie Master",100,200,7.5%,6.375,277484.875,"current value"
"tie.tie-master","Tie Master",125,200,5%,6.07,294782.625,"upward comparison"
"tie.tie-master","Tie Master",150,200,5%,5.35,234231.875,"upward comparison"
"tie.equalizer","Equalizer",50,200,5%,6.375,289249.125,"downward comparison"
"tie.equalizer","Equalizer",75,200,5%,6,277469.75,"downward comparison"
"tie.equalizer","Equalizer",100,200,3%,5.92,260306.875,"current value"
"tie.equalizer","Equalizer",125,200,4.5%,6.265,272287.5,"upward comparison"
"tie.equalizer","Equalizer",150,200,4%,5.815,300405.5,"upward comparison"
"boss.boss-bounty","Boss Bounty",50,200,5%,5.925,342924.375,"downward comparison"
"boss.boss-bounty","Boss Bounty",75,200,8.5%,6.09,276099.375,"downward comparison"
"boss.boss-bounty","Boss Bounty",100,200,4%,6.19,281082.125,"current value"
"boss.boss-bounty","Boss Bounty",125,200,6%,5.805,343006.875,"upward comparison"
"boss.boss-bounty","Boss Bounty",150,200,6%,5.815,246292.625,"upward comparison"
"banker.banco-press","Banco Press",50,200,5%,6.12,304509.5,"downward comparison"
"banker.banco-press","Banco Press",75,200,5%,5.985,248764.125,"downward comparison"
"banker.banco-press","Banco Press",100,200,3.5%,6.025,258517.25,"current value"
"banker.banco-press","Banco Press",125,200,4%,5.97,309218.24,"upward comparison"
"banker.banco-press","Banco Press",150,200,5.5%,5.975,276646.5,"upward comparison"
"player.player-tempo","Player Tempo",50,200,3.5%,6.19,323585.125,"downward comparison"
"player.player-tempo","Player Tempo",75,200,6.5%,6.37,337102,"downward comparison"
"player.player-tempo","Player Tempo",100,200,4%,5.54,282380.25,"current value"
"player.player-tempo","Player Tempo",125,200,4.5%,6.145,313106.625,"upward comparison"
"player.player-tempo","Player Tempo",150,200,7.5%,6.15,318611.25,"upward comparison"
"economy.interest-ledger","Interest Ledger",50,200,7%,5.475,271425.34,"downward comparison"
"economy.interest-ledger","Interest Ledger",75,200,4%,5.73,283429.94,"downward comparison"
"economy.interest-ledger","Interest Ledger",100,200,5.5%,6.045,293772.375,"current value"
"economy.interest-ledger","Interest Ledger",125,200,6%,6.005,300705.24,"upward comparison"
"economy.interest-ledger","Interest Ledger",150,200,3%,6.2,296923.27,"upward comparison"
"debt.last-dollar","Last Dollar",50,200,7%,5.79,233449,"downward comparison"
"debt.last-dollar","Last Dollar",75,200,3%,5.815,298552.865,"downward comparison"
"debt.last-dollar","Last Dollar",100,200,8%,6.355,315008,"current value"
"debt.last-dollar","Last Dollar",125,200,3.5%,5.695,241992.485,"upward comparison"
"debt.last-dollar","Last Dollar",150,200,6%,6.415,348793.625,"upward comparison"
