component_a,component_b,runs,completion_rate,avg_final_stage,avg_ending_bankroll,interaction_note
"player.player-tempo","vision.third-card-forecast",2,100%,10,7230665,"dominant practical pair candidate"
"banker.dealers-nod","boss.boss-bounty",1,100%,10,762000,"dominant practical pair candidate"
"banker.banco-press","control.hot-cut",1,100%,10,1198500,"dominant practical pair candidate"
"heat.soft-footsteps","vision.third-card-forecast",15,73.333%,9.333,5033925.333,"dominant practical pair candidate"
"heat.low-profile","vision.third-card-forecast",9,66.667%,8.889,4044819.444,"dominant practical pair candidate"
"banker.commission-dodge","vision.third-card-forecast",6,66.667%,9.333,5158458.333,"dominant practical pair candidate"
"economy.interest-ledger","vision.third-card-forecast",6,66.667%,9.833,4837929.167,"dominant practical pair candidate"
"banker.banco-press","boss.house-crack",3,66.667%,10,1577958.333,"dominant practical pair candidate"
"core.clean-hands","vision.third-card-forecast",15,60%,9.133,4665596.067,"dominant practical pair candidate"
"tie.equalizer","vision.third-card-forecast",9,55.556%,8.667,3199654.111,"dominant practical pair candidate"
"control.hot-cut","heat.low-profile",4,50%,8,656809,"observed co-occurrence"
"player.reversal-read","vision.third-card-forecast",2,50%,8.5,4087506,"observed co-occurrence"
"banker.dealers-nod","vision.third-card-forecast",2,50%,8,1912062.5,"observed co-occurrence"
"bet.high-roller","vision.third-card-forecast",2,50%,8,4533565,"observed co-occurrence"
"control.hot-cut","debt.last-dollar",2,50%,8,786956,"observed co-occurrence"
"tie.mirror-bet","vision.third-card-forecast",2,50%,8.5,3025568.5,"observed co-occurrence"
"core.lucky-chip","vision.third-card-forecast",13,46.154%,8.769,2742655.769,"observed co-occurrence"
"economy.comp-points","vision.third-card-forecast",10,40%,8.7,2929742.5,"observed co-occurrence"
"debt.last-dollar","loaded.add-nine",5,40%,7.6,274164.4,"observed co-occurrence"
"banker.banker-anchor","vision.third-card-forecast",5,40%,8.8,3517749.8,"observed co-occurrence"
"vision.pattern-memory","vision.third-card-forecast",5,40%,9,4888327.4,"observed co-occurrence"
"player.punto-insurance","vision.third-card-forecast",3,33.333%,8.333,3608737.333,"observed co-occurrence"
"debt.last-dollar","vision.third-card-forecast",3,33.333%,9.333,6135541.667,"observed co-occurrence"
